LOCALIDAD;NUMERO DE BOMBARDEOS;FECHAS;XETRS89;YETRS89;BANDO;DESCRIPCIÓN;FUENTE;OBSERVACIONES;;
Andoain;1;26/08/1936;579586.2129;4785729.624;Franquista;La aviación franquista bombardeó el pueblo de Andoain el 26 de agosto de 1936. Se arrojaron tan solo cuatro bombas. Hubo daños materiales, pero no víctimas.;Euzkadi  La Gaceta del Norte;;;
Ondarroa;2;29/10/1936  21/12/1936;546792.7718;4796452.985;Republicano;La aviación republicana bombardeó las posiciones franquistas en Ondarroa. Fue destruido un caserío en la zona sur del pueblo. No se dispone de más información. ;Euzkadi;;;
Urkaregi;2;17/10/1936  21/10/1936;545139.6991;4787586.716;Franquista;La aviación franquista bombardeó en dos ocasiones las posiciones republicanas en la zona del monte Urkaregi. Los bombardeos se produjeron en octubre de 1936 con cuatro días de diferencia. No se dispone de datos sobre el número de víctimas que pudieron producir.;Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Testimonio de Alberto Onaindia;;;
Berriatua;1;21/12/1936;543346.5655;4795574.27;Republicano;La aviación republicana bombardeó la zona de Berriatua, donde se encontraban posiciones del bando franquista. Un caserío de la zona resultó destruido. No se dispone de más información. ;;;;
Akarregi;1;14/10/1936;542580.5303;4791551.131;Republicano;La aviación republicana bombardeó las posiciones franquistas en la zona del monte Akarregi. No se dispone de más información sobre este ataque.;Euzkadi  El Noticiero Bilbaíno;;;
Etxebarria;2;26/04/1937  15/06/1937;542500.0611;4789175.184;Franquista;El pueblo de Etxebarria fue bombardeado en dos ocasiones, en abril y mayo de 1937. No se dispone de información sobre las víctimas que pudieron causar estos ataques. La calle Santa Marina resultó dañada, junto con los edificios de la zona. ;Ejército del Norte. Estado Mayor. Tercera Sección. Partes de Operaciones. (ENEMPO)  Euzkadi;;;
Mendexa;2;23/10/1936  27/10/1936;541551.3971;4799401.831;Franquista;Mendexa fue bombardeado en dos ocasiones en octubre de 1936. Los bombardeos dañaron algunas casas y destruyeron un caserío en la zona, pero no causaron víctimas según las crónicas de la época. ;Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  El Liberal  El Noticiero Bilbaíno  Euzkadi;;;
Markina;20; Desde 29/09/1936 hasta 26/04/1937;540739.3104;4790768.798;Franquista;Markina fue bombardeado en al menos 20 ocasiones entre septiembre de 1936 y abril de 1937. Fue una de las poblaciones más castigadas por los bombardeos aéreos.  Se conocen destrozos en la zona de Menive, de Urberuaga, en el Hospital de Sangre y en el convento de los Padres Carmelitas, además de en diferentes casas y edificios de la población. Sabemos que hubo al menos 29 víctimas entre muertos y heridos, si bien no se dispone de información sobre varios de los bombardeos, por lo que no se puede dar una cifra definitiva. ;Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  El Liberal  El Nervión  El Noticiero Bilbaíno  La Gaceta del Norte  Testimonios de Alberto Onaindia y George Steer;;;
Ermua;2;24/09/1936  25/04/1937;540419.1271;4781670.487;Franquista;Ermua fue bombardeado en dos ocasiones. Aviones de los modelos "Caproni 133"  y "Junker Ju52" bombardearon la zona, causando sobre todo daños materiales en los edificios. También fueron atacadas las carreteras de la zona, como la que iba hacia Eibar, en las que se soltaron bombas de 250 kg. En el primer bombardeo no hubo víctimas, sobre el segundo no se dispone de datos.;Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.  El Noticiero Bilbaíno  Euzkadi  La Gaceta del Norte ;;;
Lekeitio;6;Desde 22/10/1936 hasta 30/10/1936;540271.2423;4801301.393;Franquista;Lekeitio fue bombardeado en 6 ocasiones durante el mes de octubre de 1936, en un plazo de 9 días. Zonas del muelle, el cuartel de las milicias vascas y casas del pueblo resultaron dañadas. Aviones italianos del modelo ?Caproni 133? participaron al menos en alguno de los ataques. En "El Liberal" se contabilizaron 7 muertos y 19 heridos producto de estos bombardeos, si bien no es una cifra contrastada. ;Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  El Noticiero Bilbaíno  El Nervión  La Gaceta del Norte  Euzkadi  El Liberal;;;
Kanpantzar;3;24/10/1936  26/10/1936  05/11/1936;540284;4771649;Republicano;La zona del alto de Kanpantzar fue bombardeada en 3 ocasiones entre octubre y noviembre de 1936. La aviación republicana bombardeó posiciones franquistas que se encontraban en esta zona cercana a Elorrio. No se dispone de datos sobre el número de víctimas que pudieron producir estos bombardeos. ;Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  El Liberal  EL Noticiero Bilbaíno  Euzkadi;;;
Kanpantzar;4;Desde 01/10/1936 hasta  01/04/1937;540220.7977;4771715.228;Franquista;La zona del alto de Kanpantzar fue bombardeada en 4 ocasiones entre octubre de 1936 y abril de 1937. La aviación franquista bombardeó posiciones republicanas que se encontraban en esta zona cercana a Elorrio. No se dispone de datos sobre el número de víctimas que pudieron producir estos bombardeos. ;Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.  Orden de Misión de las Fuerzas Aéreas del Norte. (OMFAN)  El Liberal  El Noticiero Bilbaíno  Euzkadi;;;
