id,type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/localidad,properties/LocalidadUriDbpedia,properties/numero de bombardeos,properties/fechas,properties/bando,properties/descripcion,properties/fuente,properties/observaciones
1,Feature,Point,-2.0200792537391847,43.22015890576295,Andoain,http://dbpedia.org/resource/Andoain,1,26/08/1936,Franquista,"La aviación franquista bombardeó el pueblo de Andoain el 26 de agosto de 1936. Se arrojaron tan solo cuatro bombas. Hubo daños materiales, pero no víctimas.",Euzkadi  La Gaceta del Norte,
2,Feature,Point,-2.422916278216525,43.319460289028754,Ondarroa,http://dbpedia.org/resource/Ondarroa,2,29/10/1936  21/12/1936,Republicano,La aviación republicana bombardeó las posiciones franquistas en Ondarroa. Fue destruido un caserío en la zona sur del pueblo. No se dispone de más información. ,Euzkadi,
3,Feature,Point,-2.4440296482328074,43.23972746013803,Ermua,http://dbpedia.org/resource/Ermua,2,17/10/1936  21/10/1936,Franquista,La aviación franquista bombardeó en dos ocasiones las posiciones republicanas en la zona del monte Urkaregi. Los bombardeos se produjeron en octubre de 1936 con cuatro días de diferencia. No se dispone de datos sobre el número de víctimas que pudieron producir.,Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Testimonio de Alberto Onaindia,
4,Feature,Point,-2.465484957626874,43.31175469601234,Berriatua,http://dbpedia.org/resource/Berriatua,1,21/12/1936,Republicano,"La aviación republicana bombardeó la zona de Berriatua, donde se encontraban posiciones del bando franquista. Un caserío de la zona resultó destruido. No se dispone de más información. ",,
5,Feature,Point,-2.475242268525237,43.27557310597095,"Hernani, Spain","http://dbpedia.org/resource/Hernani,_Spain",1,14/10/1936,Republicano,La aviación republicana bombardeó las posiciones franquistas en la zona del monte Akarregi. No se dispone de más información sobre este ataque.,Euzkadi  El Noticiero Bilbaíno,
6,Feature,Point,-2.476417308100992,43.254183922324216,Etxebarria,http://dbpedia.org/resource/Etxebarria,2,26/04/1937  15/06/1937,Franquista,"El pueblo de Etxebarria fue bombardeado en dos ocasiones, en abril y mayo de 1937. No se dispone de información sobre las víctimas que pudieron causar estos ataques. La calle Santa Marina resultó dañada, junto con los edificios de la zona. ",Ejército del Norte. Estado Mayor. Tercera Sección. Partes de Operaciones. (ENEMPO)  Euzkadi,
7,Feature,Point,-2.4873308574537925,43.34632016020842,Mendexa,http://dbpedia.org/resource/Mendexa,2,23/10/1936  27/10/1936,Franquista,"Mendexa fue bombardeado en dos ocasiones en octubre de 1936. Los bombardeos dañaron algunas casas y destruyeron un caserío en la zona, pero no causaron víctimas según las crónicas de la época. ",Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  El Liberal  El Noticiero Bilbaíno  Euzkadi,
8,Feature,Point,-2.497990288314844,43.26863057497365,Markina,"http://dbpedia.org/resource/Marquina,_Álava",20, Desde 29/09/1936 hasta 26/04/1937,Franquista,"Markina fue bombardeado en al menos 20 ocasiones entre septiembre de 1936 y abril de 1937. Fue una de las poblaciones más castigadas por los bombardeos aéreos.  Se conocen destrozos en la zona de Menive, de Urberuaga, en el Hospital de Sangre y en el convento de los Padres Carmelitas, además de en diferentes casas y edificios de la población. Sabemos que hubo al menos 29 víctimas entre muertos y heridos, si bien no se dispone de información sobre varios de los bombardeos, por lo que no se puede dar una cifra definitiva. ","Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  El Liberal  El Nervión  El Noticiero Bilbaíno  La Gaceta del Norte  Testimonios de Alberto Onaindia y George Steer",
9,Feature,Point,-2.502602191905672,43.18672307562969,Ermua,http://dbpedia.org/resource/Ermua,2,24/09/1936  25/04/1937,Franquista,"Ermua fue bombardeado en dos ocasiones. Aviones de los modelos ""Caproni 133""  y ""Junker Ju52"" bombardearon la zona, causando sobre todo daños materiales en los edificios. También fueron atacadas las carreteras de la zona, como la que iba hacia Eibar, en las que se soltaron bombas de 250 kg. En el primer bombardeo no hubo víctimas, sobre el segundo no se dispone de datos.","Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el “caso Guernica�?, Sedmay, Madrid, 1976, pp. 98-132.  El Noticiero Bilbaíno  Euzkadi  La Gaceta del Norte ",
10,Feature,Point,-2.5029854897467585,43.36349388485277,Lekeitio,http://dbpedia.org/resource/Lekeitio,6,Desde 22/10/1936 hasta 30/10/1936,Franquista,"Lekeitio fue bombardeado en 6 ocasiones durante el mes de octubre de 1936, en un plazo de 9 días. Zonas del muelle, el cuartel de las milicias vascas y casas del pueblo resultaron dañadas. Aviones italianos del modelo “Caproni 133�? participaron al menos en alguno de los ataques. En ""El Liberal"" se contabilizaron 7 muertos y 19 heridos producto de estos bombardeos, si bien no es una cifra contrastada. ",Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  El Noticiero Bilbaíno  El Nervión  La Gaceta del Norte  Euzkadi  El Liberal,
