Población;Provincia;Latitud;Longitud
Amurrio (Cementerio);Araba;43,055292;-2,998044
Arraia-Maeztu (En el Km 29 de la carretera que asciende de Maeztu a Corres);Araba;42,716821;-2,44525
Arraia-Maeztu (Puerto de Azazeta);Araba;42,716871;-2,445286
Arrazua-Barrundia (Cementerio de Luko);Araba;42,934879;-2,642821
Etxagüen y Murua (Murua);Araba;42,97283333;-2,73874166
Kuartango (Cuneta y Ladera);Araba;42,927564;-2,892232
Laguardia (Cementerio);Araba;42,55087777;-2,58459166
Legutiano (Cementerio);Araba;42,98132777;-2,64271111
Pobes [La Tejera (Ribera Alta)] o Salinas de Añana;Araba;42,797544;-2,960506
Unza-Untzaga (Cruce de la carretera A-2521 (Izarra a Orduña) con la que se dirige a Unza-Untzaga);Araba;42,98820;-2,95086
Zigoitia (Etxagüen-Murua, Etxaguen I);Araba;42,98471666;-2,72255833
Zigoitia (Etxagüen-Murua, Etxagüen II);Araba;42,98536388;-2,72190833
Zigoitia (Etxagüen-Murua, Etxagüen III);Araba;42,98531111;-2,72193888
Zigoitia (Zestafe);Araba;42,96241388;-2,68523333
Amorebieta (Cementerio);Bizkaia;43,21658888;-2,737325
Amorebieta (Monte Ganzabal);Bizkaia;43,21380176;-2,69563801
Arrieta (Entorno de Libao);Bizkaia;43,340865;-2,766694
Carranza (Monte Burgüeño);Bizkaia;43,19326323;-3,27567133
Elorrio (Cima Monte Santa Luzia);Bizkaia;43,10356666;-2,53129722
Galdakao (Barrio de Arteta-Ordañe);Bizkaia;43,21115335;-2,84220588
Gernika (Cementerio);Bizkaia;43,31027777;-2,68439722
Morga (Cementerio);Bizkaia;43,31730555;-2,74764722
Muxika (Caserios de Zubieta);Bizkaia;43,29228;-2,69444
Muxika (Cementerio Ugarte-Muxica);Bizkaia;43,29141;-2,7113
Otxandio (Cementerio);Bizkaia;43,03597222;-2,65039444
Trucios (Cementerio);Bizkaia;43,274984;-3,25242
Andoain (Bº Buruntza, Bº Leizotz, Bº Sorabilla);Gipuzkoa;43,23451227;-2,00967523
Antzuola (Deskarga Alde);Gipuzkoa;43,08808029;-2,36053598
Aretxabaleta (Cruce que asciende al centro educativo Almen. Crta. Aretxabaleta-Eskoriatza);Gipuzkoa;43,02565099;-2,51030032
Arrasate (Sima de Kurtzetxiki, Bº Bedoña);Gipuzkoa;43,05440552;-2,48605193
Ataun-Aia (Cementerio);Gipuzkoa;42,96833333;-2,15111111
Azkoitia (Alto de Madariaga);Gipuzkoa;43,209067;-2,344713
Azpeitia (Urrestilla);Gipuzkoa;43,15773568;-2,24874972
Bergara (Monte Sagasti, Intxorta);Gipuzkoa;43,11786051;-2,49545127
Deba (Proximidad Caserío Arronamendi);Gipuzkoa;43,299937;-2,335646
Donostia (Alto de Ametzagaina);Gipuzkoa;43,30849109;-1,95206417
Donostia (Puente de Hierro, Riberas de Loiola);Gipuzkoa;43,30833333;-1,97083333
Donostia (Ulia);Gipuzkoa;43,32863885;-1,95951274
Elgeta (Terrenos Caserío Anzuategi II);Gipuzkoa;43,13521919;-2,49079558
Elgoibar (Alto de Azcarate y Alto de San Miguel);Gipuzkoa;43,20309968;-2,37529757
Hernani (Cementerio);Gipuzkoa;43,26222222;-1,97694444
Idiazabal (Pto. Etxegarate);Gipuzkoa;42,95381407;-2,23447109
Irún (Caserio Zinkoene, Bº Behobia);Gipuzkoa;43,33007602;-1,75159103
Mutriku (Bº Saturraran);Gipuzkoa;43,318685;-2,413483
Mutriku (Terrenos Caserío Zalabe);Gipuzkoa;43,31679531;-2,41495199
Oiartzun (Caserio Pikoketa);Gipuzkoa;43,29630466;-1,80583493
Oiartzun (Iragorri -Katin Txiki-);Gipuzkoa;43,27967536;-1,8579471
Tolosa (Bº Aldaba Txiki);Gipuzkoa;43,118846;-2,097893
Tolosa (Cima monte Olamunio y Ermita de Izaskun, Albiztur e Ibarra);Gipuzkoa;43,13889838;-2,06269351
Tolosa (Montezkue);Gipuzkoa;43,14583333;-2,07583333
Usurbil (Zona de Irubide);Gipuzkoa;43,27845512;-2,01811832
Zaldibia (Paraje denominado Matazal);Gipuzkoa;43,04875776;-2,14856822
Zumarraga (Cima monte Beloki);Gipuzkoa;43,09517862;-2,30255026
Castro Urdiales (Cementerio de Talledo, Cantabria);Otras;43,31939166;-3,171075
El Haya (Baltezana, Cantabria);Otras;43,33736936;-3,15735878
Aprikano (Cementerio);Araba;42,849128;-2,892636
Luminabaso (Lemoa);Bizkaia;43,225247;-2,777057
Lantaron (Orillas río Ebro);Araba;42,76736;-3,07762
Bilbao (Montes Abril-Ganguren Fosa I);Bizkaia;43,266445;-2,886309
Bilbao (Montes Abril-Ganguren Fosa II);Bizkaia;43,265941;-2,884276
Orduña (Cementerio);Bizkaia;42,993023;-3,002564
Zamudio (Caserio Angiñena);Bizkaia;43,30598;-2,843783
Araia (Cementerio);Araba;42,892272;-2,323946
Asteasu (Cementerio);Gipuzkoa;43,1995;-2,098918
