Poblaci�n,PoblacionUri,Provincia,Latitud,Longitud
Amurrio,http://dbpedia.org/resource/Amurrio,Araba,"43,055292","-2,998044"
Arraia-Maeztu,http://dbpedia.org/resource/Arraia-Maeztu,Araba,"42,716821","-2,44525"
Arraia-Maeztu,http://dbpedia.org/resource/Arraia-Maeztu,Araba,"42,716871","-2,445286"
Arrazua-Ubarrundia,http://dbpedia.org/resource/Arratzua-Ubarrundia,Araba,"42,934879","-2,642821"
Murúa,http://dbpedia.org/resource/Murua,Araba,"42,97283333","-2,73874166"
Kuartango,http://dbpedia.org/resource/Kuartango,Araba,"42,927564","-2,892232"
Laguardia,"http://dbpedia.org/resource/Laguardia,_Álava",Araba,"42,55087777","-2,58459166"
Legutiano,http://dbpedia.org/resource/Legutio,Araba,"42,98132777","-2,64271111"
Salinas de Añana,http://dbpedia.org/resource/Salinas_de_Añana,Araba,"42,797544","-2,960506"
Untzaga-Apregindana,http://dbpedia.org/resource/Unzá-Apreguíndana,Araba,"42,98820","-2,95086"
Zigoitia,http://dbpedia.org/resource/Zigoitia,Araba,"42,98471666","-2,72255833"
Zigoitia,http://dbpedia.org/resource/Zigoitia,Araba,"42,98536388","-2,72190833"
Zigoitia,http://dbpedia.org/resource/Zigoitia,Araba,"42,98531111","-2,72193888"
Zigoitia,http://dbpedia.org/resource/Zigoitia,Araba,"42,96241388","-2,68523333"
Amorebieta,http://dbpedia.org/resource/Amorebieta,Bizkaia,"43,21658888","-2,737325"
Amorebieta,http://dbpedia.org/resource/Amorebieta,Bizkaia,"43,21380176","-2,69563801"
Arrieta (Álava),"http://dbpedia.org/resource/Arrieta,_Álava",Bizkaia,"43,340865","-2,766694"
"Carranza, Bizkaia","http://dbpedia.org/resource/Carranza,_Bizkaia",Bizkaia,"43,19326323","-3,27567133"
Elorrio,http://dbpedia.org/resource/Elorrio,Bizkaia,"43,10356666","-2,53129722"
Galdakao,http://dbpedia.org/resource/Galdakao,Bizkaia,"43,21115335","-2,84220588"
Gernika,http://dbpedia.org/resource/Guernica,Bizkaia,"43,31027777","-2,68439722"
Morga,http://dbpedia.org/resource/Morga,Bizkaia,"43,31730555","-2,74764722"
Muxika,http://dbpedia.org/resource/Muxika,Bizkaia,"43,29228","-2,69444"
Muxika,http://dbpedia.org/resource/Muxika,Bizkaia,"43,29141","-2,7113"
Otxandio,http://dbpedia.org/resource/Otxandio,Bizkaia,"43,03597222","-2,65039444"
Trucios-Turtzioz,http://dbpedia.org/resource/Trucios-Turtzioz,Bizkaia,"43,274984","-3,25242"
Andoain,http://dbpedia.org/resource/Andoain,Gipuzkoa,"43,23451227","-2,00967523"
Antzuola,http://dbpedia.org/resource/Antzuola,Gipuzkoa,"43,08808029","-2,36053598"
Aretxabaleta,http://dbpedia.org/resource/Aretxabaleta,Gipuzkoa,"43,02565099","-2,51030032"
Arrasate,http://dbpedia.org/resource/Mondragón,Gipuzkoa,"43,05440552","-2,48605193"
Ataun,http://dbpedia.org/resource/Ataun,Gipuzkoa,"42,96833333","-2,15111111"
Azkoitia,http://dbpedia.org/resource/Azkoitia,Gipuzkoa,"43,209067","-2,344713"
Azpeitia,http://dbpedia.org/resource/Azpeitia,Gipuzkoa,"43,15773568","-2,24874972"
